Pool,Token 0,Token 1,Exchange
0x4b893b0E9c2FE8bF5D531d0C9C603b1483b4Ce30,0x62B9c7356A2Dc64a1969e19C23e4f579F9810Aa7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x39F49254d6EAf6B2B2549DFeC4Ed93CF6bae167F,0x9e20461bc2c4c980f62f1B279D71734207a6A356,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x75507bab932Fc47531Bf1654f243C088A3Fa1F69,0x70Bef3bB2f001dA2fDDb207dAe696cD9FAFf3f5d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xE12af1218b4e9272e9628D7c7Dc6354D137D024e,0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x82EbCD936C9E938704b65027850E42393F8BC4d4,0x4a615bB7166210CCe20E6642a6f8Fb5d4D044496,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x0b1ed1d00197Ce84F0C86003Ec4c7f2f06538aBC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf293d23BF2CDc05411Ca0edDD588eb1977e8dcd4,sushiswapV2
0xD8B8B575c943f3d63638c9563B464D204ED8B710,0x07150e919B4De5fD6a63DE1F9384828396f25fDC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xeEFA3b448768dD561Af4F743C9e925987A1F8D09,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDFDb7f72c1F195C5951a234e8DB9806EB0635346,sushiswapV2
0xA914a9b9E03b6aF84F9c6bd2e0e8d27D405695Db,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd084944d3c05CD115C09d072B9F44bA3E0E45921,sushiswapV2
0xeE35E548C7457FcDd51aE95eD09108be660Ea374,0x967da4048cD07aB37855c090aAF366e4ce1b9F48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xC40D16476380e4037e6b1A2594cAF6a6cc8Da967,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x55D31F68975E446a40a2d02FfA4B0E1bFb233c2F,0x0000000000095413afC295d19EDeb1Ad7B71c952,0xdAC17F958D2ee523a2206206994597C13D831ec7,sushiswapV2
0xCEfF51756c56CeFFCA006cD410B03FFC46dd3a58,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xC3f279090a47e80990Fe3a9c30d24Cb117EF91a8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,sushiswapV2
0xBE71372995E8e920E4E72a29a51463677A302E8d,0x888888435FDe8e7d4c54cAb67f206e4199454c60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x17890DeB188F2dE6C3e966e053dA1C9a111Ed4A5,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xD417144312DbF50465b1C641d016962017Ef6240,sushiswapV2
0xdB06a76733528761Eda47d356647297bC35a98BD,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE80C0cd204D654CEbe8dd64A4857cAb6Be8345a3,sushiswapV2
0xf169CeA51EB51774cF107c88309717ddA20be167,0x2ba592F78dB6436527729929AAf6c908497cB200,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xEa9b00b169dDA4CBC9fA0a64b0d1e4A6a23a3f34,0x39fBBABf11738317a448031930706cd3e612e1B9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,sushiswapV2
0x96F5b7C2bE10dC7dE02Fa8858A8f1Bd19C2fA72A,0x0f51bb10119727a7e5eA3538074fb341F56B09Ad,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x82DBc2673e9640343D263a3c55DE49021AD39aE2,0x1559FA1b8F28238FD5D76D9f434ad86FD20D1559,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x2F8AC927aa94293461C75406e90Ec0cCFb2748d9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xec67005c4E498Ec7f55E092bd1d35cbC47C91892,sushiswapV2
0x52DaC05FC0000e9F01CE9A1E91592BfbFcE87350,0x01BA67AAC7f75f647D94220Cc98FB30FCc5105Bf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x7825dE5586E4d2FD04459091bbe783fa243E1bf3,0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xb5De0C3753b6E1B4dBA616Db82767F17513E6d4E,0x090185f2135308BaD17527004364eBcC2D37e5F6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xcCB42AAaB2ea1f8012C30418eE3FCe550954D827,0x57B946008913B82E4dF85f501cbAeD910e58D26C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x5c596C6a65f628Fc1090853D8eB1927651E9d9B2,0x9AB7bb7FdC60f4357ECFef43986818A2A3569c62,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x2979fa622CcB9F6B8925ca831f30C405077730c6,0x0763fdCCF1aE541A5961815C0872A8c5Bc6DE4d7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x1241F4a348162d99379A23E73926Cf0bfCBf131e,0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x15A8E38942F9e353BEc8812763fb3C104c89eCf4,0x227c7DF69D3ed1ae7574A1a7685fDEd90292EB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x9597384dCF235E973Aee5AE852Fd936E9F27D4b0,0x6100dd79fCAA88420750DceE3F735d168aBcB771,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,sushiswapV2
0xFb3cD0B8A5371fe93ef92E3988D30Df7931E2820,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30,sushiswapV2
0x15e86E6f65EF7EA1dbb72A5E51a07926fB1c82E3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,sushiswapV2
0x6469B34a2a4723163C4902dbBdEa728D20693C12,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x088ee5007C98a9677165D78dD2109AE4a3D04d0C,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xD3c41c080a73181e108E0526475a690F3616a859,0x5F64Ab1544D28732F0A24F4713c2C8ec0dA089f0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x7229d526d5fD693720B88Eb7129058dB5D497BCe,0x6fC13EACE26590B80cCCAB1ba5d51890577D83B2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x3D3F13F2529eC3C84B2940155EffBf9b39a8f3Ec,0xa5f2211B9b8170F694421f2046281775E8468044,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x45B6FFb13e5206dAFE2cc8780e4DDc0e32496265,0x60bE1e1fE41c1370ADaF5d8e66f07Cf1C2Df2268,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xc5E5551E7434484Adbf2Ccd9669BEFecB1273eB4,0x7825e833D495F3d1c28872415a4aee339D26AC88,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x5a70513ec742EBbFB99094c7fd3096a0a3e25B86,0x5c147e74D63B1D31AA3Fd78Eb229B65161983B2b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x9D45081706102E7aadDD0973268457527722E274,0x579CEa1889991f68aCc35Ff5c3dd0621fF29b0C9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x75e66d062a2a8BE5c99d71db11d72aB3B82bA8b3,0x4CC19356f2D37338b9802aa8E8fc58B0373296E7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x559eBE4E206e6B4D50e9bd3008cDA7ce640C52cb,0x44709a920fCcF795fbC57BAA433cc3dd53C44DbE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x7B504a15ef05F4EED1C07208C5815c49022A0C19,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,sushiswapV2
0xC4b26b26d720467d96E18f08664A888d4116cEa6,0x0202Be363B8a4820f3F4DE7FaF5224fF05943AB1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xFb55AF0ef0DcdeC92Bd3752E7a9237dfEfB8AcC0,0x31429d1856aD1377A8A0079410B297e1a9e214c2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x9A0CC6791a5409ce3547F1f1d00e058c79D0A72c,0xa693B19d2931d498c5B318dF961919BB4aee87a5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x37922C69b08BABcCEaE735A31235c81f1d1e8E43,0x808507121B80c02388fAd14726482e061B8da827,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xEa59A3Da9CaD8ECE406a353DDEde0e7D17604d28,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xEe7527841A932d2912224E20a405e1a1FF747084,sushiswapV2
0x613C836DF6695c10f0f4900528B6931441Ac5d5a,0x0391D2021f89DC339F60Fff84546EA23E337750f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x95cFa1f48faD82232772d3B1415Ad4393517F3b5,0x69fa0feE221AD11012BAb0FdB45d444D3D2Ce71c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x001b6450083E531A5a7Bf310BD2c1Af4247E23D4,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xe0a0De6a56a79F45669f15B467DbeB4649ae67E2,0x419c4dB4B9e25d6Db2AD9691ccb832C8D9fDA05E,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x29C827Ce49aCCF68A1a278C67C9D30c52fBbC348,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xcB84d72e61e383767C4DFEb2d8ff7f4FB89abc6e,sushiswapV2
0xdBaa04796CB5C05D02B8A41B702d9b67c13c9fa9,0x1C9922314ED1415c95b9FD453c3818fd41867d0B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xD6931cf24c05AfD3C01016cE8A881B6c127E0C30,0xa35Bd2246978Dfbb1980DFf8Ff0f5834335dFdbc,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xd4e7a6e2D03e4e48DfC27dd3f46DF1c176647E38,0x2e9d63788249371f1DFC918a52f8d799F4a38C94,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
