Pool,Token 0,Token 1,Exchange,Reserve 0,Reserve 1,Quote,blockNumber
0xeEFA3b448768dD561Af4F743C9e925987A1F8D09,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDFDb7f72c1F195C5951a234e8DB9806EB0635346,sushiswapV2,323779773347867548431,6271078032683604425004194783,5.16087437735913e-08,19538502.0
0xA914a9b9E03b6aF84F9c6bd2e0e8d27D405695Db,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd084944d3c05CD115C09d072B9F44bA3E0E45921,sushiswapV2,282692287626591757616,40341346467844842056861,0.006980883645374751,19538572.0
0xeE35E548C7457FcDd51aE95eD09108be660Ea374,0x967da4048cD07aB37855c090aAF366e4ce1b9F48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,229012308485653448982216,92199889360451580572,2483.8674978268086,19538496.0
0xC40D16476380e4037e6b1A2594cAF6a6cc8Da967,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,68181324609614691318191,362755252257596771621,187.9540659584946,19538496.0
0x55D31F68975E446a40a2d02FfA4B0E1bFb233c2F,0x0000000000095413afC295d19EDeb1Ad7B71c952,0xdAC17F958D2ee523a2206206994597C13D831ec7,sushiswapV2,3966463445817542015920677,3419706530524,1.159884162694441,19538496.0
0xCEfF51756c56CeFFCA006cD410B03FFC46dd3a58,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,28422139454,5629790592252487195365,0.05048482946792584,19538581.0
0xC3f279090a47e80990Fe3a9c30d24Cb117EF91a8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdBdb4d16EdA451D0503b854CF79D55697F90c8DF,sushiswapV2,847984965263997695726,88719622087380133507164,0.00955803175569,19538496.0
0xBE71372995E8e920E4E72a29a51463677A302E8d,0x888888435FDe8e7d4c54cAb67f206e4199454c60,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,16304909816555161239303,352551539197883099,46248.30132255755,19538496.0
0x17890DeB188F2dE6C3e966e053dA1C9a111Ed4A5,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xD417144312DbF50465b1C641d016962017Ef6240,sushiswapV2,319654633297,986826131113111266867212,0.3239219384436434,19538496.0
0xdB06a76733528761Eda47d356647297bC35a98BD,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE80C0cd204D654CEbe8dd64A4857cAb6Be8345a3,sushiswapV2,317918714853232297671,2646113302213389663676369057,1.201455412310967e-07,19538496.0
0xf169CeA51EB51774cF107c88309717ddA20be167,0x2ba592F78dB6436527729929AAf6c908497cB200,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,3350612227906285165277,27997324192504884413,119.67615922393296,19538496.0
0xEa9b00b169dDA4CBC9fA0a64b0d1e4A6a23a3f34,0x39fBBABf11738317a448031930706cd3e612e1B9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,sushiswapV2,44654867885850580566665,27665818837,1.6140808319806386,19538496.0
0x96F5b7C2bE10dC7dE02Fa8858A8f1Bd19C2fA72A,0x0f51bb10119727a7e5eA3538074fb341F56B09Ad,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,26931907258877758939037,13147793418188730943,2083.78193323878,19538554.0
0x82DBc2673e9640343D263a3c55DE49021AD39aE2,0x1559FA1b8F28238FD5D76D9f434ad86FD20D1559,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,5702571400339378564681316,193696243212057168990,29440.795060213157,19538496.0
0x2F8AC927aa94293461C75406e90Ec0cCFb2748d9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xec67005c4E498Ec7f55E092bd1d35cbC47C91892,sushiswapV2,1908051553987867617,249197261965549582845,0.0076567918079759,19538496.0
0x52DaC05FC0000e9F01CE9A1E91592BfbFcE87350,0x01BA67AAC7f75f647D94220Cc98FB30FCc5105Bf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,481322327654583284506731,16103419873509224159,29889.44779651296,19538496.0
